,名前,名詞,エネルギー,タンパク質,脂質,食物繊維総量,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミン6,ビタミン12,葉酸,パントテン酸,ビオチン,ビタミンC,time
692,（なす類）　なす　果実　油いため,"['なす', '類', '果実', '油', 'いため']",73.0,1.5,5.8,2.6,6.3,0.0,290.0,22.0,21.0,40.0,0.4,0.2,0.07,0.2,0,0.0,0.0,0.0,0.0,0.0,1.4,11.0,0.06,0.07,0.7,0.06,0.0,36.0,0.4,0.0,2.0,16.0
693,（なす類）　なす　果実　天ぷら,"['なす', '類', '果実', '天ぷら']",165.0,1.6,14.0,1.9,12.0,21.0,200.0,31.0,14.0,41.0,0.2,0.2,0.07,0.16,0,0.0,0.0,7.0,0.0,0.0,2.6,22.0,0.05,0.07,0.6,0.04,0.0,28.0,0.16,2.3,2.0,12.0
694,（なす類）　べいなす　果実　生,"['なす', '類', '果実', '生']",20.0,1.1,0.1,2.4,5.3,1.0,220.0,10.0,14.0,26.0,0.4,0.2,0.08,0.13,0,0.0,0.0,0.0,0.0,0.0,0.3,9.0,0.04,0.04,0.6,0.06,0.0,19.0,0.3,0.0,6.0,19.0
695,（なす類）　べいなす　果実　素揚げ,"['なす', '類', '果実', '素', '揚げ']",177.0,1.0,17.0,1.8,6.7,1.0,220.0,10.0,14.0,26.0,0.4,0.2,0.09,0.13,0,0.0,0.0,0.0,0.0,0.0,2.5,31.0,0.05,0.04,0.6,0.05,0.0,12.0,0.3,0.0,2.0,14.0
696,（なす類）　漬物　塩漬,"['なす', '類', '漬物', '塩', '漬']",22.0,1.4,0.1,2.7,5.2,880.0,260.0,18.0,18.0,33.0,0.6,0.2,0.09,0.18,0,0.0,0.0,0.0,0.0,0.0,0.3,10.0,0.03,0.04,0.4,0.07,0.0,32.0,0.41,0.0,7.0,12.0
697,（なす類）　漬物　ぬかみそ漬,"['なす', '類', '漬物', 'みそ', '漬']",27.0,1.7,0.1,2.7,6.1,990.0,430.0,21.0,33.0,44.0,0.5,0.2,0.09,0.19,0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,0.1,0.04,1.0,0.15,0.0,43.0,0.67,0.0,8.0,12.0
698,（なす類）　漬物　こうじ漬,"['なす', '類', '漬物', '漬']",87.0,5.5,0.1,4.2,18.2,2600.0,210.0,65.0,22.0,65.0,1.4,0.4,0.17,0.4,0,0.0,0.0,0.0,0.0,0.0,0.5,27.0,0.03,0.05,0.3,0.03,0.0,9.0,0.13,0.0,0.0,15.0
699,（なす類）　漬物　からし漬,"['なす', '類', '漬物', '漬']",127.0,2.6,0.2,4.2,30.7,1900.0,72.0,71.0,36.0,55.0,1.5,0.4,0.13,0.32,0,0.0,0.0,0.0,0.0,0.0,0.2,24.0,0.06,0.04,0.6,0.09,0.0,18.0,0.08,0.0,87.0,22.0
700,（なす類）　漬物　しば漬,"['なす', '類', '漬物', 'しば', '漬']",27.0,1.4,0.2,4.4,7.0,1600.0,50.0,30.0,16.0,27.0,1.7,0.2,0.12,0.29,0,0.0,0.0,0.0,0.0,0.0,0.7,72.0,0.0,0.02,0.1,0.03,0.0,9.0,0.13,0.0,0.0,12.0
701,なずな　葉　生,"['葉', '生']",35.0,4.3,0.1,5.4,7.0,3.0,440.0,290.0,34.0,92.0,2.4,0.7,0.16,1.0,0,0.0,0.0,0.0,0.0,0.0,2.5,330.0,0.15,0.27,0.5,0.32,0.0,180.0,1.1,0.0,110.0,18.0
702,（なばな類）　和種なばな　花らい・茎　生,"['類', '和', '種', '花', 'らい', '茎', '生']",34.0,4.4,0.2,4.2,5.8,16.0,390.0,160.0,29.0,86.0,2.9,0.7,0.09,0.32,1,1.0,1.0,6.0,0.0,0.0,2.9,250.0,0.16,0.28,1.3,0.26,0.0,340.0,0.73,12.0,130.0,19.0
703,（なばな類）　和種なばな　花らい・茎　ゆで,"['類', '和', '種', '花', 'らい', '茎']",28.0,4.7,0.1,4.3,4.3,7.0,170.0,140.0,19.0,86.0,1.7,0.4,0.07,0.25,0,0.0,0.0,0.0,0.0,0.0,2.8,250.0,0.07,0.14,0.5,0.11,0.0,190.0,0.3,0.0,44.0,23.0
704,（なばな類）　洋種なばな　茎葉　生,"['類', '洋種', '茎葉', '生']",36.0,4.1,0.4,3.7,6.0,12.0,410.0,97.0,28.0,78.0,0.9,0.6,0.09,0.67,0,0.0,0.0,0.0,0.0,0.0,1.7,260.0,0.11,0.24,1.3,0.22,0.0,240.0,0.8,0.0,110.0,17.0
705,（なばな類）　洋種なばな　茎葉　ゆで,"['類', '洋種', '茎葉']",30.0,3.6,0.4,4.1,5.3,10.0,210.0,95.0,19.0,71.0,0.7,0.4,0.07,0.61,0,0.0,0.0,0.0,0.0,0.0,1.6,270.0,0.06,0.13,0.6,0.11,0.0,240.0,0.47,0.0,55.0,28.0
706,にがうり　果実　生,"['うり', '果実', '生']",15.0,1.0,0.1,2.6,3.9,1.0,260.0,14.0,14.0,31.0,0.4,0.2,0.05,0.1,1,0.0,1.0,7.0,0.0,0.0,0.8,41.0,0.05,0.07,0.3,0.06,0.0,72.0,0.37,0.5,76.0,13.0
707,にがうり　果実　油いため,"['うり', '果実', '油', 'いため']",47.0,1.2,3.3,2.8,4.6,1.0,260.0,14.0,15.0,33.0,0.5,0.2,0.05,0.11,1,0.0,1.0,8.0,0.0,0.0,0.9,45.0,0.05,0.08,0.3,0.07,0.0,79.0,0.41,0.5,75.0,18.0
708,（にら類）　にら　葉　生,"['ら', '類', 'ら', '葉', '生']",18.0,1.7,0.3,2.7,4.0,1.0,510.0,48.0,18.0,31.0,0.7,0.3,0.07,0.39,1,1.0,1.0,15.0,0.0,0.0,2.5,180.0,0.06,0.13,0.6,0.16,0.0,100.0,0.5,2.1,19.0,12.0
709,（にら類）　にら　葉　ゆで,"['ら', '類', 'ら', '葉']",27.0,2.6,0.5,4.3,5.7,1.0,400.0,51.0,20.0,26.0,0.7,0.3,0.09,0.49,0,0.0,0.0,0.0,0.0,0.0,3.1,330.0,0.04,0.12,0.3,0.13,0.0,77.0,0.39,0.0,11.0,20.0
710,（にら類）　にら　葉　油いため,"['ら', '類', 'ら', '葉', '油', 'いため']",69.0,1.9,5.7,3.5,4.9,0.0,600.0,48.0,22.0,38.0,0.8,0.4,0.08,0.46,0,0.0,0.0,0.0,0.0,0.0,4.1,220.0,0.06,0.16,0.8,0.2,0.0,140.0,0.59,0.0,21.0,28.0
711,（にら類）　花にら　花茎・花らい　生,"['ら', '類', '花', 'ら', '花茎', '花', 'らい', '生']",27.0,1.9,0.2,2.8,5.9,1.0,250.0,22.0,15.0,41.0,0.5,0.3,0.08,0.2,0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.07,0.08,0.6,0.17,0.0,120.0,0.42,0.0,23.0,17.0
712,（にら類）　黄にら　葉　生,"['ら', '類', '黄', 'ら', '葉', '生']",18.0,2.1,0.1,2.0,3.3,0.0,180.0,15.0,11.0,35.0,0.7,0.2,0.07,0.18,0,0.0,0.0,0.0,0.0,0.0,0.3,29.0,0.05,0.08,0.7,0.12,0.0,76.0,0.38,0.0,15.0,21.0
713,（にんじん類）　葉にんじん　葉　生,"['にんじん', '類', '葉', 'にんじん', '葉', '生']",16.0,1.1,0.2,2.7,3.7,31.0,510.0,92.0,27.0,52.0,0.9,0.3,0.04,0.26,0,0.0,0.0,0.0,0.0,0.0,1.1,160.0,0.06,0.12,1.1,0.15,0.0,73.0,0.43,0.0,22.0,21.0
714,（にんじん類）　にんじん　根　皮つき　生,"['にんじん', '類', 'にんじん', '根', '皮', 'つき', '生']",35.0,0.7,0.2,2.8,9.3,28.0,300.0,28.0,10.0,26.0,0.2,0.2,0.05,0.12,0,0.0,0.0,0.0,0.0,0.0,0.4,17.0,0.07,0.06,0.8,0.1,0.0,21.0,0.37,0.0,6.0,15.0
715,（にんじん類）　にんじん　根　皮つき　ゆで,"['にんじん', '類', 'にんじん', '根', '皮', 'つき']",29.0,0.6,0.2,3.0,8.4,23.0,270.0,32.0,12.0,29.0,0.3,0.3,0.05,0.16,0,0.0,0.0,0.0,0.0,0.0,0.4,15.0,0.06,0.05,0.7,0.09,0.0,17.0,0.42,0.0,4.0,12.0
716,（にんじん類）　にんじん　根　皮なし　生,"['にんじん', '類', 'にんじん', '根', '皮', '生']",30.0,0.8,0.1,2.4,8.7,34.0,270.0,26.0,9.0,25.0,0.2,0.2,0.05,0.1,0,1.0,1.0,1.0,0.0,0.0,0.5,18.0,0.07,0.06,0.7,0.1,0.0,23.0,0.33,2.8,6.0,12.0
717,（にんじん類）　にんじん　根　皮なし　ゆで,"['にんじん', '類', 'にんじん', '根', '皮']",28.0,0.7,0.1,2.8,8.5,27.0,240.0,29.0,9.0,26.0,0.2,0.2,0.05,0.17,0,1.0,0.0,1.0,0.0,0.0,0.4,18.0,0.06,0.05,0.6,0.1,0.0,19.0,0.25,2.5,4.0,16.0
718,（にんじん類）　にんじん　根　皮なし　油いため,"['にんじん', '類', 'にんじん', '根', '皮', '油', 'いため']",103.0,1.1,6.4,3.1,12.4,48.0,400.0,35.0,13.0,37.0,0.3,0.3,0.08,0.14,0,0.0,0.0,0.0,0.0,0.0,1.7,22.0,0.11,0.08,1.1,0.14,0.0,31.0,0.45,0.0,5.0,29.0
719,（にんじん類）　にんじん　根　皮なし　素揚げ,"['にんじん', '類', 'にんじん', '根', '皮', '素', '揚げ']",87.0,1.0,3.5,1.1,13.9,39.0,380.0,36.0,13.0,35.0,0.3,0.3,0.05,0.14,1,0.0,0.0,1.0,0.0,0.0,1.6,34.0,0.1,0.07,0.9,0.15,0.0,28.0,0.5,3.7,6.0,27.0
720,（にんじん類）　にんじん　根　皮　生,"['にんじん', '類', 'にんじん', '根', '皮', '生']",26.0,0.7,0.2,3.8,7.3,16.0,630.0,45.0,20.0,43.0,0.3,0.2,0.08,0.13,1,0.0,1.0,1.0,0.0,0.0,0.5,12.0,0.05,0.05,1.1,0.12,0.0,46.0,0.31,6.4,4.0,18.0
721,（にんじん類）　にんじん　根　冷凍,"['にんじん', '類', 'にんじん', '根', '冷凍']",30.0,0.8,0.2,4.1,8.2,57.0,200.0,30.0,9.0,31.0,0.3,0.2,0.05,0.14,0,0.0,1.0,1.0,0.0,0.0,0.8,6.0,0.04,0.02,0.5,0.09,0.0,21.0,0.25,2.1,4.0,13.0
722,（にんじん類）　にんじん　根　冷凍　ゆで,"['にんじん', '類', 'にんじん', '根', '冷凍']",24.0,0.7,0.2,3.5,7.0,40.0,130.0,31.0,8.0,26.0,0.3,0.2,0.04,0.14,0,0.0,0.0,1.0,0.0,0.0,0.9,6.0,0.03,0.02,0.3,0.06,0.0,18.0,0.2,1.6,1.0,20.0
723,（にんじん類）　にんじん　根　冷凍　油いため,"['にんじん', '類', 'にんじん', '根', '冷凍', '油', 'いため']",65.0,0.9,4.0,4.2,9.3,60.0,210.0,33.0,9.0,33.0,0.3,0.2,0.06,0.17,1,0.0,1.0,1.0,0.0,0.0,1.5,11.0,0.04,0.03,0.5,0.09,0.0,24.0,0.3,2.3,2.0,10.0
724,（にんじん類）　にんじん　グラッセ,"['にんじん', '類', 'にんじん', 'グラッセ']",53.0,0.7,1.4,2.6,12.7,390.0,240.0,26.0,10.0,27.0,0.2,0.1,0.03,0.16,1,0.0,0.0,1.0,25.0,0.0,0.7,7.0,0.03,0.03,0.4,0.09,0.0,17.0,0.14,2.6,2.0,13.0
725,（にんじん類）　にんじん　ジュース　缶詰,"['にんじん', '類', 'にんじん', 'ジュース', '缶詰']",29.0,0.6,0.1,0.2,6.7,19.0,280.0,10.0,7.0,20.0,0.2,0.1,0.04,0.07,0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.03,0.04,0.6,0.08,0.0,13.0,0.27,0.0,1.0,26.0
726,（にんじん類）　きんとき　根　皮つき　生,"['にんじん', '類', 'きんとき', '根', '皮', 'つき', '生']",39.0,1.8,0.2,3.9,9.6,11.0,540.0,37.0,11.0,64.0,0.4,0.9,0.09,0.15,0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.07,0.05,1.0,0.12,0.0,110.0,0.32,0.0,8.0,27.0
727,（にんじん類）　きんとき　根　皮つき　ゆで,"['にんじん', '類', 'きんとき', '根', '皮', 'つき']",37.0,1.9,0.2,4.3,9.2,10.0,470.0,39.0,10.0,66.0,0.5,1.0,0.08,0.13,0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.07,0.05,0.9,0.12,0.0,98.0,0.33,0.0,6.0,15.0
728,（にんじん類）　きんとき　根　皮なし　生,"['にんじん', '類', 'きんとき', '根', '皮', '生']",40.0,1.8,0.3,3.6,9.7,12.0,520.0,34.0,10.0,67.0,0.4,0.9,0.08,0.16,0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.07,0.05,1.0,0.13,0.0,100.0,0.33,0.0,8.0,24.0
729,（にんじん類）　きんとき　根　皮なし　ゆで,"['にんじん', '類', 'きんとき', '根', '皮']",40.0,1.9,0.4,4.1,9.6,9.0,480.0,38.0,9.0,72.0,0.4,1.0,0.08,0.12,0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.06,0.06,0.8,0.14,0.0,100.0,0.28,0.0,8.0,20.0
730,（にんじん類）　ミニキャロット　根　生,"['にんじん', '類', 'ミニキャロット', '根', '生']",26.0,0.7,0.2,2.7,7.5,15.0,340.0,30.0,8.0,22.0,0.3,0.2,0.05,0.12,0,0.0,0.0,0.0,0.0,0.0,0.6,13.0,0.04,0.03,0.6,0.1,0.0,32.0,0.41,0.0,4.0,27.0
731,（にんにく類）　にんにく　りん茎　生,"['にんにく', '類', 'にんにく', '茎', '生']",129.0,6.4,0.9,6.2,27.5,8.0,510.0,14.0,24.0,160.0,0.8,0.8,0.16,0.28,0,1.0,0.0,16.0,0.0,0.0,0.5,0.0,0.19,0.07,0.7,1.53,0.0,93.0,0.55,2.0,12.0,19.0
732,（にんにく類）　にんにく　りん茎　油いため,"['にんにく', '類', 'にんにく', '茎', '油', 'いため']",191.0,8.2,5.9,6.8,30.6,16.0,610.0,18.0,29.0,200.0,1.2,1.0,0.21,0.36,0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,0.23,0.09,0.8,1.8,0.0,120.0,0.68,0.0,10.0,16.0
733,（にんにく類）　茎にんにく　花茎　生,"['にんにく', '類', '茎', 'にんにく', '花茎', '生']",44.0,1.9,0.3,3.8,10.6,9.0,160.0,45.0,15.0,33.0,0.5,0.3,0.06,0.35,0,0.0,0.0,0.0,0.0,0.0,0.8,54.0,0.11,0.1,0.3,0.31,0.0,120.0,0.29,0.0,45.0,10.0
734,（にんにく類）　茎にんにく　花茎　ゆで,"['にんにく', '類', '茎', 'にんにく', '花茎']",43.0,1.7,0.2,3.8,10.7,6.0,160.0,40.0,15.0,33.0,0.5,0.3,0.06,0.32,0,0.0,0.0,0.0,0.0,0.0,0.8,51.0,0.1,0.07,0.3,0.28,0.0,120.0,0.31,0.0,39.0,14.0
735,（ねぎ類）　根深ねぎ　葉　軟白　生,"['ねぎ', '類', '根深', 'ねぎ', '葉', '軟白', '生']",35.0,1.4,0.1,2.5,8.3,0.0,200.0,36.0,13.0,27.0,0.3,0.3,0.04,0.12,0,0.0,0.0,2.0,0.0,0.0,0.2,8.0,0.05,0.04,0.4,0.12,0.0,72.0,0.17,1.0,14.0,26.0
736,（ねぎ類）　根深ねぎ　葉　軟白　ゆで,"['ねぎ', '類', '根深', 'ねぎ', '葉', '軟白']",28.0,1.3,0.1,2.5,6.8,0.0,150.0,28.0,10.0,22.0,0.3,0.3,0.05,0.09,0,0.0,0.0,0.0,0.0,0.0,0.1,8.0,0.04,0.03,0.3,0.09,0.0,53.0,0.17,0.0,10.0,12.0
737,（ねぎ類）　根深ねぎ　葉　軟白　油いため,"['ねぎ', '類', '根深', 'ねぎ', '葉', '軟白', '油', 'いため']",77.0,1.6,4.4,2.7,9.5,0.0,220.0,35.0,14.0,28.0,0.3,0.3,0.06,0.11,0,0.0,0.0,0.0,0.0,0.0,0.9,8.0,0.06,0.05,0.4,0.14,0.0,72.0,0.17,0.0,15.0,20.0
738,（ねぎ類）　葉ねぎ　葉　生,"['ねぎ', '類', '葉', 'ねぎ', '葉', '生']",29.0,1.9,0.3,3.2,6.5,1.0,260.0,80.0,19.0,40.0,1.0,0.3,0.05,0.18,1,1.0,2.0,1.0,0.0,0.0,0.9,110.0,0.06,0.11,0.5,0.13,0.0,100.0,0.23,1.7,32.0,19.0
739,（ねぎ類）　葉ねぎ　葉　油いため,"['ねぎ', '類', '葉', 'ねぎ', '葉', '油', 'いため']",77.0,2.1,5.2,3.9,7.9,2.0,310.0,95.0,22.0,49.0,1.2,0.4,0.06,0.21,0,0.0,0.0,0.0,0.0,0.0,2.1,150.0,0.07,0.12,0.5,0.16,0.0,120.0,0.29,0.0,43.0,14.0
740,（ねぎ類）　こねぎ　葉　生,"['ねぎ', '類', 'こ', 'ねぎ', '葉', '生']",26.0,2.0,0.3,2.5,5.4,1.0,320.0,100.0,17.0,36.0,1.0,0.3,0.03,0.18,0,0.0,0.0,0.0,0.0,0.0,1.3,120.0,0.08,0.14,0.6,0.13,0.0,120.0,0.2,0.0,44.0,22.0
741,のざわな　葉　生,"['ざわな', '葉', '生']",14.0,0.9,0.1,2.0,3.5,24.0,390.0,130.0,19.0,40.0,0.6,0.3,0.05,0.23,1,1.0,2.0,10.0,0.0,0.0,0.5,100.0,0.06,0.1,0.7,0.11,0.0,110.0,0.17,1.4,41.0,24.0
742,のざわな　漬物　塩漬,"['ざわな', '漬物', '塩', '漬']",17.0,1.2,0.1,2.5,4.1,610.0,300.0,130.0,21.0,39.0,0.4,0.3,0.05,0.13,0,0.0,0.0,0.0,0.0,0.0,0.7,110.0,0.05,0.11,0.5,0.06,0.0,64.0,0.13,0.0,27.0,22.0
743,のざわな　漬物　調味漬,"['ざわな', '漬物', '調味', '漬']",22.0,1.7,0.0,3.1,5.4,960.0,360.0,94.0,21.0,36.0,0.7,0.3,0.08,0.15,0,0.0,0.0,0.0,0.0,0.0,1.3,200.0,0.03,0.11,0.5,0.08,0.0,35.0,0.17,0.0,26.0,17.0
744,のびる　りん茎葉　生,"['茎葉', '生']",63.0,3.2,0.2,6.9,15.5,2.0,590.0,100.0,21.0,96.0,2.6,1.0,0.06,0.41,0,0.0,0.0,0.0,0.0,0.0,1.3,160.0,0.08,0.22,1.1,0.16,0.0,110.0,0.29,0.0,60.0,11.0
745,はくさい　結球葉　生,"['結球', '葉', '生']",13.0,0.8,0.1,1.3,3.2,6.0,220.0,43.0,10.0,33.0,0.3,0.2,0.03,0.11,1,0.0,0.0,6.0,0.0,0.0,0.2,59.0,0.03,0.03,0.6,0.09,0.0,61.0,0.25,1.4,19.0,13.0
746,はくさい　結球葉　ゆで,"['結球', '葉']",13.0,0.9,0.1,1.4,2.9,5.0,160.0,43.0,9.0,33.0,0.3,0.2,0.03,0.12,0,0.0,0.0,0.0,0.0,0.0,0.1,87.0,0.01,0.01,0.3,0.04,0.0,42.0,0.25,0.0,10.0,27.0
747,はくさい　漬物　塩漬,"['漬物', '塩', '漬']",17.0,1.5,0.1,1.8,3.3,820.0,240.0,39.0,12.0,41.0,0.4,0.2,0.04,0.06,4,0.0,0.0,8.0,0.0,0.0,0.2,61.0,0.04,0.03,0.4,0.08,0.0,59.0,0.11,0.5,29.0,17.0
748,はくさい　漬物　キムチ,"['漬物', 'キムチ']",27.0,2.3,0.1,2.2,5.4,1100.0,290.0,50.0,11.0,48.0,0.5,0.2,0.04,0.1,14,1.0,1.0,6.0,0.0,0.0,0.5,42.0,0.04,0.06,0.6,0.13,0.0,22.0,0.24,0.8,15.0,17.0
749,パクチョイ　葉　生,"['パクチョイ', '葉', '生']",15.0,1.6,0.2,1.8,2.7,12.0,450.0,100.0,27.0,39.0,0.8,0.3,0.04,0.25,1,1.0,1.0,6.0,0.0,0.0,0.9,190.0,0.07,0.12,0.8,0.11,0.0,140.0,0.34,2.6,45.0,22.0
750,バジル　葉　生,"['バジル', '葉', '生']",21.0,2.0,0.6,4.0,4.0,1.0,420.0,240.0,69.0,41.0,1.5,0.6,0.2,1.91,0,0.0,0.0,0.0,0.0,0.0,3.5,440.0,0.08,0.19,0.6,0.11,0.0,69.0,0.29,0.0,16.0,11.0
751,パセリ　葉　生,"['パセリ', '葉', '生']",34.0,4.0,0.7,6.8,7.8,9.0,1000.0,290.0,42.0,61.0,7.5,1.0,0.16,1.05,7,3.0,4.0,39.0,0.0,0.0,3.3,850.0,0.12,0.24,1.2,0.27,0.0,220.0,0.48,4.1,120.0,21.0
752,はつかだいこん　根　生,"['はつ', 'だいこん', '根', '生']",13.0,0.8,0.1,1.2,3.1,8.0,220.0,21.0,11.0,46.0,0.3,0.1,0.02,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.02,0.1,0.07,0.0,53.0,0.18,0.0,19.0,16.0
753,はなっこりー　生,"['ー', '生']",35.0,3.6,0.5,3.1,5.4,5.0,380.0,51.0,22.0,79.0,0.5,0.5,0.06,0.28,0,1.0,0.0,3.0,0.0,0.0,1.3,140.0,0.09,0.15,1.0,0.23,0.0,220.0,0.5,8.5,90.0,10.0
754,はやとうり　果実　白色種　生,"['うり', '果実', '白色', '種', '生']",20.0,0.6,0.1,1.2,4.9,0.0,170.0,12.0,10.0,21.0,0.3,0.1,0.03,0.15,0,0.0,0.0,0.0,0.0,0.0,0.2,9.0,0.02,0.03,0.3,0.04,0.0,44.0,0.46,0.0,11.0,19.0
755,はやとうり　果実　白色種　塩漬,"['うり', '果実', '白色', '種', '塩', '漬']",17.0,0.6,0.0,1.6,4.4,1400.0,110.0,8.0,10.0,14.0,0.2,0.1,0.04,0.17,0,0.0,0.0,0.0,0.0,0.0,0.1,11.0,0.02,0.04,0.3,0.04,0.0,25.0,0.47,0.0,9.0,17.0
756,はやとうり　果実　緑色種　生,"['うり', '果実', '緑色', '種', '生']",21.0,0.6,0.1,1.2,4.9,0.0,170.0,12.0,10.0,21.0,0.3,0.1,0.03,0.15,0,0.0,0.0,0.0,0.0,0.0,0.2,9.0,0.02,0.03,0.3,0.04,0.0,44.0,0.46,0.0,11.0,19.0
757,ビーツ　根　生,"['ビーツ', '根', '生']",38.0,1.6,0.1,2.7,9.3,30.0,460.0,12.0,18.0,23.0,0.4,0.3,0.09,0.15,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.05,0.3,0.07,0.0,110.0,0.31,0.0,5.0,27.0
758,ビーツ　根　ゆで,"['ビーツ', '根']",42.0,1.5,0.1,2.9,10.2,38.0,420.0,15.0,22.0,29.0,0.4,0.3,0.09,0.17,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.04,0.2,0.05,0.0,110.0,0.31,0.0,3.0,11.0
759,（ピーマン類）　青ピーマン　果実　生,"['ピーマン', '類', '青', 'ピーマン', '果実', '生']",20.0,0.9,0.2,2.3,5.1,1.0,190.0,11.0,11.0,22.0,0.4,0.2,0.06,0.1,0,0.0,1.0,3.0,0.0,0.0,0.8,20.0,0.03,0.03,0.6,0.19,0.0,26.0,0.3,1.6,76.0,15.0
760,（ピーマン類）　青ピーマン　果実　油いため,"['ピーマン', '類', '青', 'ピーマン', '果実', '油', 'いため']",54.0,0.9,4.3,2.4,5.4,1.0,200.0,11.0,11.0,24.0,0.7,0.2,0.06,0.1,0,0.0,0.0,4.0,0.0,0.0,0.9,21.0,0.03,0.03,0.6,0.2,0.0,27.0,0.31,1.9,79.0,10.0
761,（ピーマン類）　赤ピーマン　果実　生,"['ピーマン', '類', '赤', 'ピーマン', '果実', '生']",28.0,1.0,0.2,1.6,7.2,0.0,210.0,7.0,10.0,22.0,0.4,0.2,0.03,0.13,0,0.0,0.0,0.0,0.0,0.0,4.3,7.0,0.06,0.14,1.2,0.37,0.0,68.0,0.28,0.0,170.0,27.0
762,（ピーマン類）　赤ピーマン　果実　油いため,"['ピーマン', '類', '赤', 'ピーマン', '果実', '油', 'いため']",69.0,1.0,4.3,1.6,7.6,0.0,220.0,7.0,10.0,24.0,0.7,0.2,0.03,0.14,0,0.0,0.0,0.0,0.0,0.0,4.4,7.0,0.06,0.16,1.2,0.39,0.0,71.0,0.29,0.0,180.0,16.0
763,（ピーマン類）　オレンジピーマン　果実　生,"['ピーマン', '類', 'オレンジ', 'ピーマン', '果実', '生']",19.0,0.9,0.3,1.8,4.2,0.0,230.0,5.0,10.0,26.0,0.3,0.2,0.04,0.1,0,0.0,0.0,6.0,0.0,0.0,3.1,4.0,0.04,0.03,1.3,0.32,0.0,53.0,0.21,2.3,150.0,25.0
764,（ピーマン類）　オレンジピーマン　果実　油いため,"['ピーマン', '類', 'オレンジ', 'ピーマン', '果実', '油', 'いため']",81.0,1.1,5.1,0,7.6,0.0,270.0,5.0,11.0,30.0,0.4,0.2,0.05,0.11,0,0.0,0.0,7.0,0.0,0.0,5.2,11.0,0.05,0.04,1.4,0.34,0.0,57.0,0.26,2.6,170.0,15.0
765,（ピーマン類）　黄ピーマン　果実　生,"['ピーマン', '類', '黄', 'ピーマン', '果実', '生']",28.0,0.8,0.2,1.3,6.6,0.0,200.0,8.0,10.0,21.0,0.3,0.2,0.04,0.15,0,0.0,0.0,0.0,0.0,0.0,2.4,3.0,0.04,0.03,1.0,0.26,0.0,54.0,0.25,0.0,150.0,13.0
766,（ピーマン類）　黄ピーマン　果実　油いため,"['ピーマン', '類', '黄', 'ピーマン', '果実', '油', 'いため']",61.0,0.8,4.3,1.3,6.9,0.0,210.0,8.0,10.0,23.0,0.5,0.2,0.04,0.16,0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,0.04,0.03,1.0,0.27,0.0,56.0,0.26,0.0,160.0,26.0
767,（ピーマン類）　トマピー　果実　生,"['ピーマン', '類', 'トマピー', '果実', '生']",33.0,1.0,0.2,1.6,7.5,0.0,210.0,8.0,8.0,29.0,0.4,0.3,0.07,0.12,0,0.0,0.0,0.0,0.0,0.0,4.3,4.0,0.05,0.09,1.2,0.56,0.0,45.0,0.33,0.0,200.0,13.0
768,ひのな　根・茎葉　生,"['根', '茎葉', '生']",17.0,1.0,0.0,3.0,4.7,10.0,480.0,130.0,21.0,51.0,0.8,0.2,0.04,0.17,0,0.0,0.0,0.0,0.0,0.0,0.7,93.0,0.05,0.13,0.7,0.14,0.0,92.0,0.18,0.0,52.0,26.0
769,ひのな　根・茎葉　甘酢漬,"['根', '茎葉', '甘酢', '漬']",70.0,1.4,0.5,4.7,17.3,1100.0,550.0,130.0,22.0,40.0,0.9,0.3,0.08,0.12,0,0.0,0.0,0.0,0.0,0.0,1.4,120.0,0.04,0.08,0.7,0.12,0.0,69.0,0.2,0.0,39.0,17.0
770,ひろしまな　葉　生,"['ひろしま', '葉', '生']",19.0,1.5,0.2,2.4,4.2,28.0,550.0,200.0,32.0,55.0,0.8,0.3,0.04,0.54,1,1.0,3.0,15.0,0.0,0.0,1.3,160.0,0.06,0.15,0.7,0.1,0.0,120.0,0.47,2.2,49.0,27.0
771,ひろしまな　塩漬,"['ひろしま', '塩', '漬']",15.0,1.2,0.2,2.4,3.3,840.0,120.0,74.0,13.0,17.0,0.8,0.3,0.06,0.12,0,0.0,0.0,0.0,0.0,0.0,0.6,210.0,0.02,0.07,0.2,0.04,0.0,15.0,0.07,0.0,15.0,28.0
