,名前,名詞,エネルギー,タンパク質,脂質,食物繊維総量,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミン6,ビタミン12,葉酸,パントテン酸,ビオチン,ビタミンC,time
2202,＜スナック類＞　小麦粉あられ,"['スナック', '類', '小麦粉']",476.0,7.6,19.5,2.3,68.8,710.0,100.0,18.0,11.0,55.0,0.5,0.3,0.08,0.39,0,4.0,2.0,11.0,0.0,0.0,2.0,1.0,0.1,0.03,0.5,0.03,0.0,8.0,0.48,1.1,0.0,18.0
2203,＜スナック類＞　コーンスナック,"['スナック', '類', 'コーンスナック']",516.0,5.2,27.1,1.0,65.3,470.0,89.0,50.0,13.0,70.0,0.4,0.3,0.05,0.08,0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.02,0.05,0.7,0.06,0.0,8.0,0.3,0.0,0.0,27.0
2204,＜スナック類＞　ポテトチップス　ポテトチップス,"['スナック', '類', 'ポテトチップス', 'ポテトチップス']",541.0,4.7,35.2,4.2,54.7,400.0,1200.0,17.0,70.0,100.0,1.7,0.5,0.21,0.4,260,0.0,3.0,10.0,0.0,0.0,6.2,0.0,0.26,0.06,4.3,0.0,0.0,70.0,0.94,1.6,15.0,21.0
2205,＜スナック類＞　ポテトチップス　成形ポテトチップス,"['スナック', '類', 'ポテトチップス', '成形', 'ポテトチップス']",515.0,5.8,32.0,4.8,57.3,360.0,900.0,49.0,53.0,140.0,1.2,0.7,0.2,0.3,0,0.0,0.0,0.0,0.0,0.0,2.6,4.0,0.25,0.05,4.2,0.54,0.0,36.0,1.08,0.0,9.0,21.0
2206,＜キャンデー類＞　かわり玉,"['キャンデー', '類', 'かわり', '玉']",392.0,0.0,0.0,0,99.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,26.0
2207,＜キャンデー類＞　キャラメル,"['キャンデー', '類', 'キャラメル']",426.0,4.0,11.7,0,77.9,110.0,180.0,190.0,13.0,100.0,0.3,0.4,0.03,0.06,14,3.0,1.0,6.0,110.0,3.0,0.5,3.0,0.09,0.18,1.1,0.02,0.0,5.0,0.58,2.7,0.0,15.0
2208,＜キャンデー類＞　ゼリーキャンデー,"['キャンデー', '類', 'ゼリー', 'キャンデー']",334.0,0.0,0.0,0.9,83.9,2.0,1.0,8.0,1.0,1.0,0.1,0.0,0.01,0.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0
2209,＜キャンデー類＞　ゼリービーンズ,"['キャンデー', '類', 'ゼリービーンズ']",358.0,0.0,0.0,0.9,90.4,2.0,6.0,10.0,2.0,6.0,0.2,0.0,0.01,0.04,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0
2210,＜キャンデー類＞　ドロップ,"['キャンデー', '類', 'ドロップ']",389.0,0.0,0.0,0,98.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2211,＜キャンデー類＞　バタースコッチ,"['キャンデー', '類', 'バター', 'スコッチ']",414.0,0.0,6.5,0,91.0,150.0,4.0,2.0,0.0,2.0,0.0,0.0,0.01,0.0,0,0.0,0.0,0.0,61.0,0.1,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.0,16.0
